top-parent,Work
vsalm,Visual Studio ALM
whats-new,What's new
code,Code
build,Build
work,Work
test,Test
release,Release
design,Design
report,Report
install,Install
tfs,TFS
reference,Reference
agents,Agents
connect,Connect
backlogs,Backlogs
scrum,Scrum
kanban,Kanban
track,Track
scale,Scale
customize,Customize
customize-process,Process (Team Services) 
customize-backlogs,Backlogs and boards
customize-pt,Process template
guidance,Guidance
configure,Feature enablement (TFS) 
import-process,Process import (Team Services) 
manage-pt,Process templates
process-guidance,Process guidance
productivity,Productivity
keyboard-shortcuts,Keyboard shortcuts 
get-started,Get started
query-examples,Query examples